Gene_ID,IL.1_1,IL.1_2,IL.1_3,LPS_1,LPS_2,LPS_3,PAM_1,PAM_2,PAM_3,Con_1,Con_2,Con_3
27395,7.933787041,8.155240468,8.057352044,8.054922061,8.014269389,7.946563897,8.087751402,7.970474417,8.524220034,7.954296081,8.400666782,8.979092338
18777,6.548965291,6.662178247,6.54811663,6.514036419,6.507131938,6.312489027,6.647645805,6.75885542,6.611703293,6.439660946,6.552307384,6.473400025
21399,6.436735088,6.565268894,6.445942263,6.385999735,6.603578138,6.476681172,6.653616308,6.543964518,6.577701624,6.405557014,6.707239704,6.738116112
58175,1.180315897,1.145410787,1.087714911,0.993218376,0.446464178,1.18087535,1.04740887,0.948879916,0.826008634,0.978289426,1.770811875,1.192247281
108664,7.242186339,7.359856704,7.17706261,7.436552833,7.479611743,7.383657861,7.518473134,7.745473562,7.603125415,7.334591755,7.645660583,7.969491645
12421,5.76273549,5.88753119,6.062174562,6.018168537,5.584232004,5.853802194,5.888456198,6.420852305,5.875800816,5.418891968,6.255633041,5.976514854
319263,5.589047353,5.796806795,5.540939496,5.618894844,5.712843205,5.636735224,5.986322918,6.270771961,5.412786946,5.773323601,5.844935758,5.697219121
59014,6.520047418,6.335269753,6.43920405,6.820562241,7.042220953,7.108473558,6.670399773,6.190810598,6.213896303,6.799476924,6.505925803,5.910505814
76187,2.235239338,2.218137745,2.072905187,2.174131867,2.739585293,2.803136234,2.315380254,3.328895091,2.600693747,-0.345180093,-0.296281994,0.257007026
70675,4.808125354,4.728698813,4.77414292,4.901295289,5.230280613,5.116216451,4.872887324,4.601239852,4.673315513,4.785124774,4.180711877,4.213001157
170755,1.075185987,0.446897308,0.392756373,0.59026252,1.182896285,1.422997975,0.221483413,0.724941584,-0.657871768,0.05754345,-0.818810342,1.009033481
73824,6.669737999,7.144645753,7.140145387,7.206669388,6.989464906,6.849416166,7.343620329,7.124334941,7.953984918,6.683298857,7.680010363,8.303172532
26754,7.921518583,8.102461618,7.901243997,8.033179281,8.05105734,8.023230395,8.008438091,8.129412387,8.565174456,7.975277084,8.323092076,8.98944327
211660,3.675601585,3.376231548,3.506810021,3.278536687,3.552813401,3.304439502,3.615147657,3.786093808,3.846890614,4.066658218,3.720968514,3.769788465
211673,5.93912152,6.103315713,6.045634201,6.103086111,6.250053234,6.316244141,6.124568203,6.412650633,5.957397608,6.193746386,6.274201333,6.37892862
329093,4.348372939,4.623933874,4.523294951,4.389431421,4.603634194,4.607582255,4.813684348,5.167076126,4.597027699,4.158258818,4.821714978,5.154760659
17978,4.738103311,4.620825883,4.606844306,4.577044065,4.718217619,4.607582255,4.159218231,4.393088355,4.203133259,4.674912639,4.743916597,4.254790061
72265,7.012921419,7.122841567,7.075893584,7.070114794,6.736701574,6.866163565,7.185711444,7.41568997,7.219645267,6.838345077,7.433863088,7.20406587
