"","gene","IL-1_1","IL-1_2","IL-1_3","LPS_1","LPS_2","LPS_3","PAM_1","PAM_2","PAM_3","Con_1","Con_2","Con_3"
"1","497097",1,1,0,0,5,0,1,2,0,0,0,8
"2","100503874",7,3,0,0,2,2,3,1,0,0,0,1
"3","100038431",0,0,1,0,0,0,0,8,0,0,0,2
"4","19888",1,0,0,0,1,0,2,0,0,0,0,2
"5","20671",1,0,0,0,0,1,0,0,0,0,0,1
"6","27395",4602,5369,5242,5478,3985,4760,3923,3612,4200,2933,2730,5553
"7","18777",1760,1905,1839,1880,1400,1531,1444,1558,1114,1025,757,976
"8","100503730",1,2,0,0,0,1,1,0,0,0,4,0
"9","21399",1628,1781,1713,1720,1497,1716,1450,1342,1088,1001,843,1173
"10","58175",39,38,38,37,18,40,27,25,18,21,26,23
"11","108664",2848,3092,2846,3567,2750,3221,2643,3090,2217,1908,1617,2757
"12","18387",1,0,0,0,0,0,0,0,0,0,0,0
"13","226304",0,0,3,0,1,1,0,0,0,0,0,0
"14","12421",1019,1112,1312,1332,737,1113,852,1232,668,504,616,691
"15","620393",0,0,0,0,0,0,0,0,0,0,0,0
"16","240690",1,0,2,0,1,1,1,0,0,0,0,1
"17","319263",903,1044,913,1009,806,957,912,1110,484,645,463,569
"18","71096",0,0,0,0,2,3,0,0,0,0,0,1
"19","59014",1725,1518,1705,2326,2030,2661,1467,1050,845,1316,733,660
"20","76187",85,84,79,89,100,131,69,142,67,7,5,11
"21","72481",4,1,5,3,0,0,0,7,2,2,1,1
"22","76982",0,0,0,0,0,5,0,1,0,0,0,0
"23","17864",19,5,26,10,3,15,14,11,11,5,6,5
"24","70675",524,496,535,612,576,666,420,347,289,324,145,202
"25","73331",4,1,8,3,1,1,2,2,2,2,5,3
"26","170755",36,22,22,27,32,48,14,21,5,10,3,20
"27","620986",3,3,3,1,1,2,0,2,1,0,0,6
"28","240697",2,4,7,2,4,2,8,0,6,2,3,1
"29","73824",1914,2663,2774,3041,1957,2223,2341,2008,2828,1214,1656,3475
"30","266793",8,4,2,12,9,12,2,5,9,2,0,7
"31","100038398",0,2,0,1,1,3,0,1,0,0,1,3
"32","100039596",0,0,0,0,0,0,0,0,1,0,0,0
"33","69312",1,0,2,0,2,0,0,5,0,0,2,3
"34","26754",4563,5176,4704,5396,4088,5020,3713,4033,4321,2976,2587,5593
"35","211660",237,192,220,196,178,187,174,196,162,196,105,148
"36","211673",1152,1292,1297,1413,1171,1535,1004,1225,707,864,624,914
"37","329093",380,461,449,428,372,467,403,515,274,209,227,390
"38","109294",7,3,7,3,3,15,2,14,8,10,0,6
"39","320492",0,0,0,0,3,2,0,1,0,0,0,5
"40","329096",1,0,0,0,0,0,0,0,0,0,0,0
"41","240725",1,0,0,1,2,2,0,0,0,0,0,2
"42","240726",1,0,2,0,0,5,0,2,0,0,0,2
"43","383491",0,0,0,1,0,0,0,1,0,0,0,0
"44","17978",499,460,476,488,403,467,255,300,208,300,215,208
"45","72265",2429,2623,2653,2766,1642,2249,2098,2458,1699,1352,1396,1621
"46","212442",1008,1043,1051,1276,801,944,927,1186,675,611,441,746
